,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
0,0,Westminster,2021-10-26,SmoothSale,0,"Park West, London W2",0,0,pre-owned,400000.0,flat,0,leasehold,1 bed flat for sale,51.515748,-0.164999,26.0,1,1,0,2021-10-26T12:49:25,400000.0,0,0,0,Chesham,489,94,"[12, 1, 1, 6]"
1,1,Westminster,2021-10-26,Benham and Reeves - Kensington,0,"Carrington Street, Mayfair W1J",0,0,pre-owned,825000.0,flat,0,leasehold,1 bed flat for sale,51.505965,-0.146775,41.0,1,1,1,2021-10-26T12:13:41,825000.0,0,0,0,Green Park,327,96,"[2, 0, 2, 1]"
2,2,Westminster,2021-10-26,Benham and Reeves - Kensington,0,"Avery Row, Mayfair W1K",0,0,pre-owned,850000.0,flat,0,leasehold,1 bed flat for sale,51.512576,-0.145757,48.0,1,1,1,2021-10-26T12:06:47,850000.0,0,0,0,Bond Street,261,209,"[10, 4, 3, 2]"
3,3,Westminster,2021-10-26,Benham and Reeves - Kensington,0,"The Westmark, West End Gate, Paddington W2",0,0,pre-owned,924050.0,flat,0,leasehold,1 bed flat for sale,51.5191320646766,-0.173793691542289,543.0,1,1,1,2021-10-26T12:01:56,924050.0,1,0,1,Edgware Road (C),350,74,"[9, 1, 0, 2]"
4,4,Westminster,2021-10-26,Benham and Reeves - Kensington,0,"The Westmark, West End Gate, Paddington W2",0,0,pre-owned,930000.0,flat,0,leasehold,1 bed flat for sale,51.5191320646766,-0.173793691542289,554.0,1,1,1,2021-10-26T11:49:48,930000.0,1,0,1,Edgware Road (C),350,74,"[9, 1, 0, 2]"
5,5,Westminster,2021-10-26,Knightsbridge International Real Estate,0,"Park Mansions, Knightsbridge, London SW1X",0,0,pre-owned,1150000.0,flat,0,Other,1 bed flat for sale,51.501571,-0.161668,49.0,1,1,1,2021-10-26T11:48:10,1150000.0,0,0,0,Knightsbridge,77,67,"[2, 1, 0, 1]"
6,6,Westminster,2021-10-26,Knight Frank - Mayfair Sales,0,"Whitehall Court, Westminster, London SW1A",0,0,pre-owned,3250000.0,flat,0,Other,2 bed flat for sale,51.5055,-0.12419,122.0,2,2,1,2021-10-26T11:23:09,3250000.0,1,0,1,Chesham,235,81,"[1, 0, 12, 2]"
7,7,Westminster,2021-10-26,Parkers,0,"Cambridge Square, London W2",0,0,pre-owned,690000.0,flat,0,leasehold,1 bed flat for sale,51.51661,-0.168366,60.0,1,1,1,2021-10-26T11:00:40,690000.0,0,0,1,Edgware Road (B),515,101,"[16, 2, 1, 5]"
8,8,Westminster,2021-10-26,Knight Frank - St John's Wood Sales,0,"Maida Vale, London W9",0,0,pre-owned,1200000.0,flat,0,Other,3 bed flat for sale,51.525966,-0.178824,105.0,3,2,1,2021-10-26T10:46:15,1200000.0,0,0,1,Warwick Avenue,305,33,"[5, 0, 4, 1]"
9,9,Westminster,2021-10-26,Foxtons - Notting Hill,0,"Leinster Square, Bayswater, London W2",0,0,pre-owned,700000.0,flat,0,Other,2 bed flat for sale,51.513456,-0.192722,47.0,2,1,1,2021-10-26T10:10:16,700000.0,0,0,1,Chesham,495,100,"[16, 4, 2, 8]"
10,10,Westminster,2021-10-26,Ernest-Brooks International,0,"The Courthouse, 70 Horseferry Road, Westminster SW1P",0,0,pre-owned,1150000.0,,0,leasehold,1 bed property for sale,51.494798,-0.125914,51.0,1,1,1,2021-10-26T09:13:16,1150000.0,1,0,1,Westminster,556,20,"[10, 3, 0, 1]"
11,11,Westminster,2021-10-25,Savills - Maida Vale & Little Venice,0,"Clifton Villas, Little Venice, London W9",0,0,pre-owned,3350000.0,end_terrace,0,freehold,4 bed end terrace house for sale,51.522797,-0.1852,206.0,4,3,2,2021-10-25T19:23:40,3350000.0,1,0,1,Warwick Avenue,123,31,"[9, 2, 3, 0]"
12,12,Westminster,2021-10-25,Prime London (Central and Riverside),1,"Switch House East, Battersea Power Station, Nine Elms SW11",0,0,new,3000000.0,flat,0,Other,2 bed flat for sale,51.482452,-0.144263,171.0,2,2,2,2021-10-25T16:40:09,3000000.0,0,0,1,Chesham,1689,13,"[1, 1, 2, 3]"
13,13,Westminster,2021-10-25,Fraser & Co - New Homes,1,"9 Millbank, London SW1P",0,0,new,1350000.0,flat,0,Other,1 bed flat for sale,51.495136,-0.125612,71.0,1,1,1,2021-10-25T16:23:46,1350000.0,1,0,0,Westminster,520,23,"[11, 3, 0, 0]"
14,14,Westminster,2021-10-25,Stanley Property London,0,"Churchill Gardens, London SW1V",0,0,pre-owned,765000.0,flat,0,leasehold,3 bed flat for sale,51.485416,-0.137635,87.0,3,3,1,2021-10-25T16:17:28,765000.0,1,0,1,Pimlico,641,18,"[5, 0, 1, 2]"
15,15,Westminster,2021-10-25,Alexander Payton,1,"100 Knightsbridge, London SW1X",0,0,new,17000000.0,flat,0,leasehold,3 bed flat for sale,51.502034,-0.16153,365.0,3,3,1,2021-10-25T15:59:20,17000000.0,0,1,0,Knightsbridge,74,57,"[1, 1, 0, 1]"
16,16,Westminster,2021-10-25,Lord Estates,0,"Wyndham Street, London W1H",0,0,pre-owned,625000.0,studio,0,leasehold,Studio for sale,51.520486,-0.162099,32.0,0,1,0,2021-10-25T15:51:44,625000.0,0,0,0,Marylebone,309,93,"[19, 3, 1, 2]"
17,17,Westminster,2021-10-25,Alexander Payton,0,"Marylebone Road, London NW1",0,0,pre-owned,3500000.0,flat,0,leasehold,3 bed flat for sale,51.52187,-0.160861,232.0,3,4,1,2021-10-25T15:40:06,3500000.0,0,1,0,Marylebone,289,91,"[18, 3, 1, 3]"
18,18,Westminster,2021-10-25,Chestertons - Hyde Park,1,"The Phoenix, 8 Bird Street, London W1U",0,0,new,1890000.0,flat,0,leasehold,2 bed flat for sale,51.514703,-0.151177,89.0,2,2,1,2021-10-25T14:48:54,1890000.0,0,0,0,Bond Street,113,143,"[8, 12, 1, 3]"
19,19,Westminster,2021-10-25,Chestertons - Hyde Park,0,"Hyde Park Gardens, Hyde Park, London W2",0,0,pre-owned,2350000.0,flat,0,leasehold,2 bed flat for sale,51.512767,-0.171043,129.0,2,2,2,2021-10-25T14:48:53,2350000.0,0,0,1,Lancaster Gate,303,60,"[3, 1, 0, 0]"
20,20,Westminster,2021-10-25,Benham and Reeves - Kensington,0,"25, Whitehall, St James SW1A",0,0,pre-owned,1250000.0,flat,0,leasehold,1 bed flat for sale,51.506628,-0.126819,102.0,1,3,1,2021-10-25T14:35:16,1250000.0,0,0,1,Charing Cross,334,181,"[1, 0, 27, 3]"
21,21,Westminster,2021-10-25,Rokstone Estate Agents,0,"Park Street, Mayfair W1K",0,0,pre-owned,9450000.0,town_house,0,freehold,4 bed town house for sale,51.511151,-0.154606,295.0,4,4,2,2021-10-25T14:33:43,9450000.0,1,0,0,Marble Arch,369,92,"[3, 2, 0, 4]"
22,22,Westminster,2021-10-25,TEMPOCASA ESTATE AGENTS,0,"Lydford Road, Maida Vale, London W9",0,0,pre-owned,850000.0,terraced,0,leasehold,4 bed terraced house for sale,51.527544,-0.200292,110.0,4,2,1,2021-10-25T14:29:45,850000.0,0,0,0,Westbourne Park,610,19,"[13, 6, 0, 2]"
23,23,Westminster,2021-10-25,Napier Watt,1,"Place, Great Portland Street, Marylebone W1W",0,0,new,1585000.0,flat,0,leasehold,1 bed flat for sale,51.522186,-0.14346,54.0,1,1,1,2021-10-25T13:58:47,1585000.0,0,0,0,Great Portland Street,164,118,"[8, 27, 2, 2]"
24,24,Westminster,2021-10-25,Napier Watt,1,"Place, Great Portland Street, Marylebone W1W",0,0,new,2275000.0,flat,0,leasehold,2 bed flat for sale,51.522186,-0.14346,77.0,2,2,1,2021-10-25T13:51:54,2275000.0,0,0,0,Great Portland Street,164,118,"[8, 27, 2, 2]"
25,25,Westminster,2021-10-25,Lets Talk Property,0,"Croxley Road, London W9",0,0,pre-owned,295000.0,studio,0,leasehold,Studio for sale,51.529442,-0.200193,21.0,0,1,1,2021-10-25T13:02:25,295000.0,0,0,0,Queen's Park,522,11,"[14, 5, 1, 2]"
26,26,Westminster,2021-10-25,Knight Frank - Belgravia Sales,0,"Buckingham Gate, London SW1E",0,0,pre-owned,1075000.0,flat,0,Other,2 bed flat for sale,51.499206,-0.137932,72.0,2,1,1,2021-10-25T12:50:34,1075000.0,0,0,0,St. James's Park,235,71,"[8, 0, 7, 2]"
27,27,Westminster,2021-10-25,Benham and Reeves - Kensington,0,"Newcastle Place, Paddington W2",0,0,pre-owned,1600000.0,flat,0,leasehold,2 bed flat for sale,51.5191320646766,-0.173793691542289,85.0,2,2,1,2021-10-25T12:04:58,1600000.0,0,0,1,Edgware Road (C),350,74,"[9, 1, 0, 2]"
28,28,Westminster,2021-10-25,Benham and Reeves - Beaufort Park,0,"Newcastle Place, Paddington, London W2",0,0,pre-owned,1600000.0,flat,0,leasehold,2 bed flat for sale,51.5191320646766,-0.173793691542289,85.0,2,2,1,2021-10-25T12:04:58,1600000.0,0,0,1,Edgware Road (C),350,74,"[9, 1, 0, 2]"
29,29,Westminster,2021-10-25,Prime London (Central and Riverside),1,"Kings Gate Walk, Westminster, London SW1E",0,0,pre-owned,10500000.0,flat,0,leasehold,4 bed flat for sale,51.49752,-0.137883,302.0,4,4,2,2021-10-25T11:52:40,10500000.0,1,1,0,Chesham,393,89,"[8, 1, 7, 3]"
30,30,Westminster,2021-10-25,Savills - Westminster,0,"Buckingham Court, 78 Buckingham Gate, London SW1E",0,0,pre-owned,1075000.0,flat,0,leasehold,2 bed flat for sale,51.499288,-0.137998,70.0,2,1,1,2021-10-25T11:40:03,1075000.0,0,0,0,St. James's Park,237,71,"[8, 0, 7, 2]"
31,31,Westminster,2021-10-25,Chestertons - Hyde Park,0,"Gloucester Terrace, Bayswater, London W2",0,0,pre-owned,490000.0,flat,0,leasehold,1 bed flat for sale,51.514432,-0.179811,47.0,1,1,1,2021-10-25T10:49:13,490000.0,0,0,0,Chesham,317,48,"[5, 4, 0, 0]"
32,32,Westminster,2021-10-25,Bruten & Co,0,"Hallfield Estate, Bayswater W2",0,0,pre-owned,395000.0,flat,0,leasehold,1 bed flat for sale,51.514954,-0.184129,43.0,1,1,1,2021-10-25T09:59:51,395000.0,0,0,1,Bayswater,514,77,"[5, 5, 1, 4]"
33,33,Westminster,2021-10-25,Noahs,0,"Queens Gardens, London W2",0,0,pre-owned,1750000.0,flat,0,Other,2 bed flat for sale,51.513561,-0.181816,102.0,2,2,1,2021-10-25T09:52:24,1750000.0,1,0,1,Chesham,406,72,"[4, 4, 1, 4]"
34,34,Westminster,2021-10-25,Jackson-Stops - Pimlico,0,"St. Georg Es Drive, London SW1V",0,0,pre-owned,1300000.0,maisonette,0,share_of_freehold,3 bed maisonette for sale,51.488647,-0.140099,115.0,3,2,1,2021-10-25T09:17:14,1300000.0,1,0,0,Pimlico,510,41,"[9, 4, 0, 3]"
35,35,Westminster,2021-10-24,Ian Green Residential,0,"Warwick Avenue, Little Venice W9",0,0,pre-owned,6950000.0,end_terrace,0,freehold,End terrace house for sale,51.522331,-0.181844,389.0,0,0,0,2021-10-24T15:47:52,6950000.0,0,0,1,Warwick Avenue,132,36,"[5, 1, 2, 0]"
36,36,Westminster,2021-10-24,Keller Williams London Bridge,1,"Paddington Gardens, London W2",0,0,new,1600000.0,flat,0,leasehold,2 bed flat for sale,51.519601,-0.175143,93.0,2,2,1,2021-10-24T03:10:14,1600000.0,1,0,1,Chesham,437,65,"[8, 1, 1, 2]"
37,37,Westminster,2021-10-23,Knight Frank - Marylebone Sales,1,"Blandford Street, Marylebone, London W1U",0,0,new,2150000.0,flat,0,Other,3 bed flat for sale,51.52,-0.15,113.0,3,2,1,2021-10-23T14:47:36,2150000.0,1,1,0,Regent's Park,573,120,"[12, 30, 6, 1]"
38,38,Westminster,2021-10-23,Knight Frank - St John's Wood Sales,0,"Clifton Gardens, Maida Vale, London W9",0,0,pre-owned,3350000.0,flat,0,Other,3 bed flat for sale,51.5253,-0.1806,197.0,3,3,2,2021-10-23T14:32:31,3350000.0,0,0,1,Warwick Avenue,215,34,"[5, 0, 4, 0]"
39,39,Westminster,2021-10-23,London Property Zone,0,"Lancaster Gate, Lancaster Gate W2",0,0,pre-owned,23000000.0,end_terrace,0,freehold,2 bed end terrace house for sale,51.512106,-0.178851,2314.0,2,2,0,2021-10-23T10:18:43,23000000.0,0,0,0,Lancaster Gate,226,39,"[3, 4, 0, 0]"
40,40,Westminster,2021-10-22,Druce & Co,0,"York Street, London W1U",0,0,pre-owned,1300000.0,flat,0,Other,1 bed flat for sale,51.520877,-0.158121,92.0,1,1,1,2021-10-22T22:52:10,1300000.0,0,0,0,Baker Street,354,111,"[22, 5, 4, 3]"
41,41,Westminster,2021-10-22,Manors,0,"Portman Square, London W1H",0,0,pre-owned,5750000.0,flat,0,leasehold,4 bed flat for sale,51.515742,-0.154305,247.0,4,3,2,2021-10-22T21:21:39,5750000.0,0,0,0,Chesham,356,154,"[10, 10, 1, 4]"
42,42,Westminster,2021-10-22,Rayan Investments & Management,0,"11 Sheldon Square, London, United Kingdom W2",0,0,pre-owned,725000.0,studio,0,Other,Studio for sale,51.519693,-0.179875,57.0,0,0,0,2021-10-22T20:00:45,725000.0,0,0,0,Warwick Avenue,463,44,"[6, 2, 2, 0]"
43,43,Westminster,2021-10-22,Allsop LLP,0,"215C Gloucester Terrace, Royal Oak, London W2",0,0,pre-owned,375000.0,flat,1,Other,1 bed flat for sale,51.517865,-0.184935,47.0,1,1,1,2021-10-22T18:17:30,375000.0,1,0,1,Royal Oak,311,47,"[10, 5, 3, 3]"
44,44,Westminster,2021-10-22,Allsop LLP,0,"Flat 7, 108 Westbourne Terrace, Paddington, London W2",0,0,pre-owned,425000.0,flat,1,Other,1 bed flat for sale,51.517158,-0.18221,59.0,1,1,1,2021-10-22T18:16:42,425000.0,1,0,1,Royal Oak,487,54,"[7, 3, 2, 3]"
45,45,Westminster,2021-10-22,Foxtons - Auction,0,"Portsea Place, Hyde Park Estate, London W2",0,0,pre-owned,350000.0,flat,1,Other,2 bed flat for sale,51.515228,-0.164391,78.0,2,1,1,2021-10-22T18:09:28,350000.0,1,0,0,Chesham,407,85,"[10, 1, 1, 6]"
46,46,Westminster,2021-10-22,Winkworth - St Johns Wood,0,"Abercorn Place, St John's Wood NW8",0,0,pre-owned,3295000.0,,0,Other,4 bed property for sale,51.5325,-0.181059,223.0,4,2,2,2021-10-22T17:04:25,3295000.0,1,1,1,Maida Vale,260,10,"[7, 4, 2, 0]"
47,47,Westminster,2021-10-22,Beauchamp Estates St. Johns Wood,0,"Elm Tree Close, St John's Wood NW8",0,0,pre-owned,3500000.0,town_house,0,Other,4 bed town house for sale,51.530529,-0.174656,192.0,4,2,0,2021-10-22T16:11:41,3500000.0,0,1,1,St. John's Wood,492,14,"[7, 3, 2, 1]"
48,48,Westminster,2021-10-22,"Purplebricks, Head Office",0,"Shirland Mews, London W9",0,0,pre-owned,650000.0,mews,0,freehold,2 bed mews house for sale,51.527643,-0.199683,8.0,2,2,1,2021-10-22T15:22:34,650000.0,0,0,1,Upminster,665,18,"[13, 5, 0, 2]"
